features,class
"[-2.8536453e+02  1.4744611e+02 -2.0685148e+01  3.9110569e+01
  7.7673445e+00  1.8240291e+00 -1.8298071e+01  2.0762758e+00
 -1.7856020e+01  6.7406096e+00 -3.6897528e-01  2.7978554e+00
 -6.1665502e+00 -1.8754799e+00  1.9942478e+00  1.4435037e+00
 -5.3129048e+00  5.1384158e+00 -2.0445707e+00 -1.0678449e-01
 -2.4339383e+00 -9.2493856e-01 -2.5708532e+00 -3.6284678e+00
  4.0591784e+00 -2.6426294e-01 -5.5910535e+00 -8.5617619e+00
 -5.0133591e+00 -7.1824126e+00 -2.4174364e+00 -5.8890624e+00
 -3.5463343e+00  2.9418898e+00 -3.0931330e+00  9.3648392e-01
  9.4470695e-02  1.0577354e+00 -1.6642226e+00  3.4875542e-01]",Arjun
"[-3.0092850e+02  1.4829449e+02 -1.2812182e+01  3.0580620e+01
 -2.1662650e+00  1.1694973e+01 -1.9407503e+01  7.3898592e+00
 -1.4947808e+01  9.3660975e+00 -8.3309937e+00  7.6647220e+00
  4.3005311e-01  3.1075785e+00 -6.6551584e-01  5.3928151e+00
 -4.4180899e+00  6.2064042e+00 -3.4334047e+00  5.1317590e-01
 -6.7934890e+00 -3.1750762e+00 -4.5041738e+00 -3.0712717e+00
 -1.3778054e+00 -2.1369543e+00 -5.7763691e+00 -7.4883199e+00
 -6.7009139e+00 -7.6987791e+00 -1.5322458e+00 -5.4125743e+00
 -2.2379882e+00  2.8161170e+00 -5.0543842e+00 -2.6855342e+00
 -3.9728835e+00  6.3758969e-02 -2.0654249e+00 -6.8996280e-01]",Arjun
"[-3.0018646e+02  1.4771463e+02 -2.1996859e+01  3.6124142e+01
  3.0408754e+00  4.6825314e+00 -1.6609367e+01  6.2802081e+00
 -1.3249602e+01  7.4364276e+00 -3.9204743e+00  2.3646057e+00
 -3.0590441e+00  4.6327200e-02 -1.1544733e+00  5.4096122e+00
 -5.3168626e+00  2.9865847e+00  1.7715735e+00 -6.6167629e-01
 -1.0705682e+01 -2.9901640e+00 -3.5424843e+00 -4.9387517e+00
 -3.9653215e-01 -1.7368816e+00 -2.9330633e+00 -5.6138206e+00
 -5.7688851e+00 -7.3620162e+00 -6.2349644e-02 -4.4938679e+00
 -3.1557808e+00  2.3471165e+00 -4.3140264e+00 -3.4504457e+00
  1.7616341e-01 -1.6811669e+00 -4.5486875e+00 -1.8670062e+00]",Arjun
"[-2.9773364e+02  1.5323402e+02 -2.1086704e+01  3.8839279e+01
  1.2342929e+01  2.8530145e+00 -1.4345638e+01  2.4577863e+00
 -1.6555046e+01  3.2569733e+00 -8.7717199e+00 -8.5507852e-01
 -6.8657756e-02 -1.0007918e+00 -3.3231337e+00  4.0824823e+00
 -3.4030962e-01  5.1973109e+00  1.1665323e+00  9.3124157e-01
 -7.1308384e+00 -1.7785827e+00 -3.4169405e+00 -5.6407924e+00
 -1.8095441e+00 -5.0327768e+00 -6.3554935e+00 -8.9218292e+00
 -5.9021044e+00 -7.8350902e+00 -3.5670450e+00 -3.5082152e+00
 -3.0698118e+00  2.1767287e+00 -5.3431878e+00 -4.1454849e+00
 -3.9663503e-01 -3.9953744e-01 -2.9986222e+00 -1.3518568e+00]",Arjun
"[-296.77176     147.28575      -8.472591     35.58577      -4.9246507
   -2.3922937   -15.156924     13.041633    -16.705063      5.517266
   -5.687019      3.0269778    -1.077181      4.4611115    -7.338068
    0.36345533   -1.4325484     7.87578       0.9522116    -3.51084
  -11.877463     -3.7599623    -4.7948523    -1.6958313     1.2828542
   -3.9154541    -0.43856966   -0.9503267    -0.37946406   -4.611389
   -4.277134     -1.6122628    -1.8118137    -2.131611     -1.9973751
   -2.7904665    -2.4760878    -2.404039      2.8638046    -1.0656036 ]",Arjun
"[-3.3987137e+02  1.3733359e+02 -1.1973081e+01  4.5509182e+01
  1.1079405e+01  3.8252342e+00 -1.2304916e+01  2.5547616e+00
 -6.1778288e+00  7.6647153e+00 -1.2276206e+01  7.7664888e-01
 -4.3763552e+00 -3.1223421e+00 -6.7370381e+00  7.5295415e+00
 -1.3718063e-02 -2.5199645e+00 -2.3731159e-01  1.7571567e+00
 -4.8084874e+00 -1.9912121e+00 -3.0638025e+00 -6.7771535e+00
 -4.4122233e+00 -5.5920472e+00  1.4123299e-02 -5.2250738e+00
 -4.6155915e+00 -7.7369885e+00 -3.2990897e+00 -3.1108575e+00
 -3.7557726e+00 -4.2072620e+00 -1.5976440e+00 -1.8362159e+00
 -2.5758078e+00  9.5025384e-01 -1.5771977e+00 -2.7856498e+00]",Arjun
"[-2.8798965e+02  1.2331979e+02 -2.3751209e+01  4.5474087e+01
  1.9650084e+01 -1.0967441e+00 -1.5928039e+01 -2.8605437e+00
 -8.0227957e+00  9.7319365e+00 -1.4441090e+01  1.2836258e-01
  7.3631531e-01  1.3979013e+00 -2.9437807e+00  6.3906174e+00
 -1.6051670e+00  1.4671115e+00 -3.6525621e+00 -8.4680992e-01
 -4.7564282e+00 -1.6127487e+00 -1.2013215e+01 -8.3016939e+00
 -4.9588208e+00 -9.5576744e+00 -1.5252589e+00 -6.0287862e+00
 -4.2388020e+00 -1.1668349e+01 -6.1557527e+00 -2.9026625e-01
 -5.7899590e+00 -2.2098999e+00 -4.0807199e+00 -4.6763163e+00
 -5.2455249e+00  7.3969558e-02 -5.9707803e-01 -1.4499955e-01]",Arjun
"[-3.2851965e+02  1.3411078e+02 -2.2318258e+01  3.1017866e+01
  8.2249269e+00  1.0374638e+01 -1.6481083e+01  3.1532021e+00
 -3.3360723e-01  1.4604758e+01 -4.0300837e+00  5.2883778e+00
 -4.6439052e+00  6.2080938e-01 -1.5693005e+00  2.4887807e+00
 -3.5618775e+00  6.8507390e+00 -9.7697675e-01  1.2287713e+00
 -2.6059237e+00 -2.1980097e+00 -5.3617024e+00 -7.2770190e+00
 -4.0690351e+00 -5.4560385e+00 -4.3517728e+00 -5.4021487e+00
 -3.9511328e+00 -1.0507691e+01 -3.7322404e+00 -5.3565514e-01
 -2.3354459e+00 -2.7228081e+00 -2.9424570e+00 -2.4724269e+00
 -1.8320533e+00  3.2392406e-01  2.7506081e-02  1.8090638e+00]",Arjun
"[-270.72263     143.99806     -32.53435      45.013405     26.434883
    0.5831121   -27.992413     -1.6267864   -21.144896     11.763186
   -8.487498     -0.87675786   -2.0128644    -1.67021      -5.664649
   12.553259     -7.7196307    -0.49967003   -3.6084611     2.3267794
   -6.8929667    -2.4644492    -7.208389     -9.513006     -1.8836999
   -8.048493     -3.765232    -11.305884     -5.4040995   -14.170182
   -6.1898394    -1.5629646    -7.9080234    -0.7227916    -3.898083
   -4.5643663    -1.7850647    -0.35422975   -3.5716975    -3.0070193 ]",Arjun
"[-2.9510794e+02  1.6559143e+02 -2.3228165e+01  2.7075356e+01
  2.3662783e+01  4.5422587e+00 -1.6587925e+01 -4.0797970e-01
 -1.9544653e+01  2.9991782e+00 -3.3789437e+00  3.2883835e+00
 -9.2356277e-01 -1.9215710e+00 -8.2427588e+00  9.2541176e-01
 -1.2894803e+00 -3.4348103e-01 -5.7486682e+00  5.1166922e-01
 -1.8124912e+00 -4.6693363e+00 -4.9542251e+00 -9.7359619e+00
 -1.7427292e+00 -5.4015880e+00 -4.5124788e+00 -6.8828335e+00
 -6.6389461e+00 -1.3551490e+01 -5.9870906e+00 -1.7079415e+00
 -8.1594658e+00 -3.8557463e+00 -3.8324442e+00 -3.0018778e+00
 -4.3220487e+00 -8.5586198e-02 -3.3712733e+00 -3.0008929e+00]",Arjun
